date,open,high,low,close,volume,amount,turn
2026-01-05,3.0400000000,3.0500000000,3.0200000000,3.0300000000,51655448,156477147.1400,0.913900
2026-01-06,3.0300000000,3.0700000000,3.0200000000,3.0600000000,48724988,148649014.3000,0.862000
2026-01-07,3.0600000000,3.0700000000,3.0400000000,3.0500000000,40515787,123646538.4800,0.716800
2026-01-08,3.0400000000,3.0500000000,3.0300000000,3.0300000000,35669792,108331813.6700,0.631100
2026-01-09,3.0400000000,3.0500000000,3.0300000000,3.0400000000,33753284,102594868.3300,0.597200
2026-01-12,3.0500000000,3.0800000000,3.0400000000,3.0700000000,53651054,164228037.2400,0.949200
2026-01-13,3.0800000000,3.0900000000,3.0500000000,3.0600000000,54205176,166531247.8000,0.959000
2026-01-14,3.0600000000,3.0800000000,3.0300000000,3.0400000000,58465002,178735683.1000,1.034400
2026-01-15,3.0400000000,3.0500000000,3.0300000000,3.0300000000,31638948,96078689.9100,0.559800
2026-01-16,3.0300000000,3.0500000000,3.0100000000,3.0200000000,50686800,153419361.0000,0.896800
2026-01-19,3.0200000000,3.0400000000,3.0100000000,3.0300000000,38134432,115426244.7700,0.674700
2026-01-20,3.0300000000,3.0800000000,3.0200000000,3.0800000000,71315155,218113380.6300,1.261700
2026-01-21,3.0800000000,3.0900000000,3.0500000000,3.0700000000,44537971,136656447.2600,0.788000
2026-01-22,3.0700000000,3.1200000000,3.0600000000,3.1200000000,75172899,232798426.7400,1.330000
2026-01-23,3.1200000000,3.1400000000,3.1000000000,3.1400000000,48642119,151569509.2800,0.860600
2026-01-26,3.1400000000,3.1500000000,3.0900000000,3.1300000000,63517597,198454607.6100,1.123800
2026-01-27,3.1300000000,3.1400000000,3.0800000000,3.1100000000,53723735,166673285.9100,0.950500
2026-01-28,3.1000000000,3.1700000000,3.0900000000,3.1500000000,68756526,215432648.6400,1.216400
2026-01-29,3.1400000000,3.1500000000,3.1100000000,3.1300000000,43245352,135224509.6800,0.765100
2026-01-30,3.1400000000,3.1700000000,3.1100000000,3.1300000000,62384911,195784508.3200,1.103700
2026-02-02,3.1500000000,3.2000000000,3.1100000000,3.1200000000,106055760,334900017.5000,1.876400
2026-02-03,3.1300000000,3.1700000000,3.0500000000,3.0700000000,76822152,237655737.8100,1.359100
2026-02-04,3.0800000000,3.1500000000,3.0600000000,3.1500000000,70278312,219457835.5200,1.243400
2026-02-05,3.1400000000,3.1500000000,3.1200000000,3.1400000000,47952175,150350271.7400,0.848400
2026-02-06,3.1200000000,3.1500000000,3.1000000000,3.1100000000,48465826,151404308.8600,0.857500
2026-02-09,3.1300000000,3.1400000000,3.1000000000,3.1200000000,49015269,152823703.5900,0.867200
2026-02-10,3.1100000000,3.1300000000,3.0900000000,3.1100000000,41390874,128846669.5000,0.732300
2026-02-11,3.1200000000,3.1400000000,3.1000000000,3.1300000000,40789519,127360282.2800,0.721700
2026-02-12,3.1300000000,3.1500000000,3.1000000000,3.1100000000,45931001,143363007.0900,0.812600
2026-02-13,3.1000000000,3.1100000000,3.0500000000,3.0600000000,54982408,168988455.4800,0.972800
2026-02-24,3.0800000000,3.0900000000,3.0700000000,3.0800000000,30829327,95020758.9000,0.545400
2026-02-25,3.0800000000,3.1500000000,3.0700000000,3.1200000000,70997002,221780831.2500,1.256100
2026-02-26,3.1200000000,3.1300000000,3.0800000000,3.0900000000,39474200,122264404.0000,0.698400
2026-02-27,3.0900000000,3.1100000000,3.0700000000,3.1000000000,41822927,129302905.6900,0.739900
2026-03-02,3.0900000000,3.1400000000,3.0700000000,3.1100000000,85515867,265500773.5000,1.513000
2026-03-03,3.1200000000,3.1700000000,3.1100000000,3.1400000000,93317024,293183363.0800,1.651000
2026-03-04,3.1300000000,3.1300000000,3.0400000000,3.0500000000,93030661,285573125.4900,1.645900
2026-03-05,3.0700000000,3.0900000000,3.0600000000,3.0700000000,49831651,153107119.8000,0.881600
2026-03-06,3.0600000000,3.1300000000,3.0500000000,3.1200000000,66909195,207351476.7500,1.183800
2026-03-09,3.1000000000,3.1300000000,3.0800000000,3.0900000000,53438310,165609041.0000,0.945400
2026-03-10,3.1000000000,3.1200000000,3.0900000000,3.1000000000,49804346,154446253.1400,0.881100
2026-03-11,3.1000000000,3.1600000000,3.0600000000,3.1500000000,88817110,276747766.3700,1.571400
2026-03-12,3.1500000000,3.2000000000,3.1400000000,3.1900000000,82768603,263411059.1500,1.464400
2026-03-13,3.1800000000,3.2000000000,3.1500000000,3.1600000000,55204571,175301410.7700,0.976700
2026-03-16,3.1600000000,3.1800000000,3.1300000000,3.1300000000,50412557,158746848.4100,0.891900
2026-03-17,3.1300000000,3.1800000000,3.1200000000,3.1300000000,46424384,146242009.5200,0.821300
2026-03-18,3.1300000000,3.1400000000,3.0900000000,3.1100000000,52636001,163721851.6500,0.931200
2026-03-19,3.1000000000,3.1300000000,3.0700000000,3.0800000000,54361278,168360216.8500,0.961800
2026-03-20,3.0900000000,3.1300000000,3.0700000000,3.0800000000,63907722,197692151.2000,1.130700
2026-03-23,3.0700000000,3.0800000000,2.9000000000,2.9200000000,122203796,362823778.2400,2.162000
2026-03-24,2.9300000000,3.0000000000,2.9200000000,3.0000000000,53571606,158732925.7700,0.947800
2026-03-25,3.0000000000,3.1300000000,2.9900000000,3.1200000000,86753100,266443336.0000,1.534800
