date,open,high,low,close,volume,amount,turn
2026-01-05,39.6300000000,39.8000000000,38.3000000000,39.2600000000,5269604,205429696.9000,10.512200
2026-01-06,39.2100000000,39.6900000000,38.7400000000,39.3900000000,4867072,190980649.2400,9.709200
2026-01-07,39.0200000000,39.3300000000,38.7100000000,38.8900000000,3179151,123987265.0700,4.811600
2026-01-08,38.8000000000,39.5000000000,38.7100000000,39.4900000000,3328283,130778460.5800,5.037400
2026-01-09,39.3500000000,39.8800000000,39.1000000000,39.8600000000,4003109,158469281.1200,6.058700
2026-01-12,40.4400000000,41.8800000000,39.8500000000,41.8500000000,7677635,314895934.4200,11.620100
2026-01-13,41.7900000000,41.8000000000,40.3800000000,40.4700000000,5031557,206203325.7100,7.615300
2026-01-14,40.6100000000,43.3000000000,40.6000000000,42.8600000000,10520446,445161495.4900,15.922700
2026-01-15,42.6800000000,42.6800000000,41.0600000000,41.3500000000,5495783,228291111.3800,8.317900
2026-01-16,41.2100000000,41.4800000000,40.3700000000,40.8000000000,3241291,132283091.0000,4.905700
2026-01-19,40.5000000000,41.4500000000,40.0000000000,41.0800000000,2324663,95057224.5500,3.518400
2026-01-20,41.0900000000,41.3400000000,39.8000000000,40.1200000000,2382511,96571820.7800,3.605900
2026-01-21,39.8900000000,40.4600000000,39.5500000000,40.1500000000,1736855,69728220.6500,2.628700
2026-01-22,40.3800000000,41.5600000000,40.3800000000,40.7300000000,2007754,81958391.0000,3.038700
2026-01-23,40.7500000000,41.2000000000,40.6100000000,41.0000000000,2233909,91621451.4600,3.381000
2026-01-26,41.2000000000,41.3000000000,39.3600000000,39.8000000000,2881841,115746865.8200,4.361700
2026-01-27,39.9100000000,40.2900000000,38.5000000000,40.1900000000,2441580,96112034.5700,3.695300
2026-01-28,40.0000000000,40.4900000000,39.1300000000,39.2500000000,2001601,79460756.0100,3.029400
2026-01-29,39.2600000000,40.8200000000,38.5500000000,39.8300000000,3056006,122489624.9600,4.625300
2026-01-30,39.8400000000,39.8400000000,38.6400000000,39.1300000000,1886980,73848893.0000,2.855900
2026-02-02,39.0100000000,39.5800000000,38.5500000000,38.5500000000,1647560,64373313.8000,2.493600
2026-02-03,38.9200000000,39.5000000000,38.8500000000,39.4400000000,1510840,59287418.0000,2.286700
2026-02-04,39.3900000000,39.3900000000,37.6000000000,38.3000000000,2504694,95946838.3400,3.790900
2026-02-05,38.0000000000,38.3200000000,37.8100000000,38.0200000000,921227,35075237.0200,1.394300
2026-02-06,38.0900000000,38.6800000000,37.6300000000,38.2700000000,1113201,42643275.2000,1.684800
2026-02-09,38.7600000000,39.2400000000,38.6700000000,39.1200000000,1376527,53731038.0400,2.083400
2026-02-10,39.2800000000,39.6300000000,39.0200000000,39.4000000000,1270384,50080761.7000,1.922700
2026-02-11,39.2500000000,39.7500000000,39.1800000000,39.4500000000,1248051,49334701.6800,1.888900
2026-02-12,39.4500000000,40.0000000000,39.0400000000,39.9600000000,1673102,66495951.4600,2.532200
2026-02-13,39.7000000000,41.3500000000,39.6700000000,39.8000000000,2585343,104826032.2500,3.912900
2026-02-24,40.2900000000,40.4000000000,39.2000000000,39.3300000000,1671669,65942975.5300,2.530100
2026-02-25,39.3400000000,39.9400000000,39.2300000000,39.7200000000,1288709,51184286.4100,1.950500
2026-02-26,39.9500000000,40.9800000000,39.8900000000,40.1700000000,2179765,87986335.4500,3.299100
2026-02-27,40.0000000000,40.8700000000,39.8400000000,40.6600000000,1913577,77648671.4700,2.896200
2026-03-02,39.9000000000,40.1600000000,38.2300000000,38.3000000000,2757721,107282680.8100,4.173800
2026-03-03,38.3800000000,38.8500000000,36.7200000000,36.7800000000,2201819,82885879.8000,3.332500
2026-03-04,36.3900000000,36.6500000000,35.8500000000,35.9700000000,1445643,52388238.1700,2.188000
2026-03-05,36.6800000000,36.9600000000,36.1900000000,36.4100000000,1144301,41999757.0100,1.731900
2026-03-06,36.6000000000,37.1100000000,36.2000000000,37.1100000000,1039800,38393675.0000,1.573700
2026-03-09,36.8300000000,37.4500000000,36.2200000000,37.3200000000,1762424,64812598.4400,2.667400
2026-03-10,37.6400000000,38.2400000000,37.4000000000,37.8400000000,1372757,51850230.8200,2.077700
2026-03-11,37.9100000000,38.2000000000,37.6500000000,37.6800000000,1370878,51885491.7000,2.074800
2026-03-12,37.6800000000,38.4800000000,37.6800000000,38.0600000000,1640094,62670931.8000,2.482300
2026-03-13,37.9000000000,37.9000000000,36.4100000000,36.5200000000,1658756,61327310.2400,2.510500
2026-03-16,37.7700000000,37.7800000000,36.6900000000,37.1800000000,1383312,51386213.1600,2.093600
2026-03-17,37.5600000000,37.5600000000,36.5000000000,36.5200000000,1263200,46683613.3400,1.911900
2026-03-18,36.6700000000,37.3600000000,36.5800000000,37.2100000000,1038700,38503383.7000,1.572100
2026-03-19,36.9800000000,37.8200000000,36.7500000000,37.1200000000,1826501,68385006.4400,2.764400
2026-03-20,37.4400000000,37.5800000000,34.6600000000,34.7000000000,2902622,103945078.3400,4.393100
2026-03-23,33.9800000000,34.2000000000,32.3500000000,32.5300000000,1796440,59928334.3800,2.718900
2026-03-24,33.4900000000,33.9600000000,32.7100000000,33.9200000000,1598276,53258163.6400,2.419000
2026-03-25,34.0000000000,35.3800000000,33.9200000000,34.6300000000,1513839,52484869.4000,2.291200
